type,budget,lieu,camera,objectif,lumieres,prix_estime
interview,high,extérieur,RED Komodo,Canon CN-E 85mm T1.3,Aputure 300x,14044
documentaire,medium,intérieur,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,Nanlite PavoTube 6C,5440
documentaire,high,studio,Canon C70,Canon CN-E 85mm T1.3,Creamsource Vortex8,440506
documentaire,low,extérieur,Panasonic G7,Viltrox 23mm f/1.4,Softbox 135W,2842
clip,low,studio,Panasonic G7,Canon 50mm f/1.8,Ring Light,3974
court-métrage,medium,extérieur,Canon R6,Sony 18-105mm f/4 G,FalconEyes RX-18T,8214
documentaire,high,intérieur,ARRI Alexa Mini,ARRI Signature Prime 35mm,Nanlite Forza 300,128453
clip,low,intérieur,Blackmagic Pocket Cinema Camera HD,Viltrox 23mm f/1.4,Neewer LED Panel,3433
interview,medium,studio,Sony FX30,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,5714
interview,low,extérieur,Fujifilm X-T200,Canon 50mm f/1.8,Ring Light,3069
documentaire,high,studio,Sony VENICE,Leica Summilux-C 29mm,Nanlite Forza 300,392662
pub,low,extérieur,Panasonic G7,Sigma 16mm f/1.4,Ring Light,3543
court-métrage,high,extérieur,ARRI Alexa Mini,Sony G Master 35mm f/1.4,Litepanels Gemini 2x1,173879
documentaire,high,studio,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Creamsource Vortex8,289211
clip,high,extérieur,Blackmagic URSA Mini Pro 12K,ARRI Signature Prime 35mm,Aputure 300x,374287
clip,medium,studio,Canon R6,Sony 18-105mm f/4 G,FalconEyes RX-18T,7272
interview,medium,studio,Panasonic GH6,Sigma 24-70mm f/2.8,Aputure Amaran 100x,9368
documentaire,low,intérieur,Canon M50,Sigma 16mm f/1.4,Neewer LED Panel,2449
documentaire,low,studio,Fujifilm X-T200,Canon 50mm f/1.8,Neewer LED Panel,1892
documentaire,high,extérieur,RED Komodo,Canon CN-E 85mm T1.3,Astera Titan Tube,252059
interview,high,studio,Canon C70,Sony G Master 35mm f/1.4,Aputure 300x,430569
documentaire,low,extérieur,Nikon Z30,Yongnuo 35mm f/2,Andoer 660 LED,1840
court-métrage,medium,studio,Nikon Z6 II,Sigma 30mm f/1.4,Aputure Amaran 100x,7495
pub,high,intérieur,Canon C70,Leica Summilux-C 29mm,Creamsource Vortex8,379383
court-métrage,high,extérieur,Sony VENICE,Leica Summilux-C 29mm,Creamsource Vortex8,448995
clip,low,intérieur,Fujifilm X-T200,Viltrox 23mm f/1.4,Softbox 135W,3566
interview,medium,extérieur,Canon R6,Sony 18-105mm f/4 G,Godox SL60W,4825
clip,medium,intérieur,Nikon Z6 II,Sigma 24-70mm f/2.8,Godox SL60W,4556
clip,medium,studio,Sony A7 IV,Sigma 24-70mm f/2.8,SmallRig RC120B,9910
documentaire,low,studio,Blackmagic Pocket Cinema Camera HD,Viltrox 23mm f/1.4,Neewer LED Panel,3159
documentaire,high,intérieur,Sony VENICE,Zeiss CP.3 50mm T2.1,Creamsource Vortex8,217524
interview,medium,studio,Blackmagic Pocket 4K,Sigma 30mm f/1.4,SmallRig RC120B,6304
interview,low,studio,Canon M50,Viltrox 23mm f/1.4,Andoer 660 LED,3557
clip,low,intérieur,Panasonic G7,Viltrox 23mm f/1.4,Ring Light,2458
pub,low,intérieur,Fujifilm X-T200,Meike 25mm T2.2,Ulanzi VL49,3527
documentaire,medium,extérieur,Panasonic GH6,Sigma 24-70mm f/2.8,Aputure Amaran 100x,8106
pub,low,intérieur,Nikon Z30,Meike 25mm T2.2,Ulanzi VL49,2736
pub,high,intérieur,Sony FX6,Zeiss CP.3 50mm T2.1,Aputure 300x,238417
pub,low,extérieur,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Andoer 660 LED,2613
court-métrage,high,studio,RED Komodo,ARRI Signature Prime 35mm,Creamsource Vortex8,191440
interview,low,studio,Fujifilm X-T200,Meike 25mm T2.2,Ring Light,2598
interview,low,studio,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Andoer 660 LED,2628
documentaire,medium,intérieur,Sony FX30,Sony 18-105mm f/4 G,FalconEyes RX-18T,5074
interview,high,studio,Canon C70,Sony G Master 35mm f/1.4,ARRI SkyPanel S60,325403
pub,medium,intérieur,Sony A7 IV,Tamron 28-75mm,Godox SL60W,7760
interview,medium,extérieur,Canon R6,Sigma 24-70mm f/2.8,Aputure Amaran 100x,8023
clip,low,studio,Sony A6400,Viltrox 23mm f/1.4,Softbox 135W,3618
documentaire,medium,extérieur,Blackmagic Pocket 4K,Tamron 28-75mm,FalconEyes RX-18T,6204
court-métrage,medium,extérieur,Sony A7 IV,Sigma 24-70mm f/2.8,Aputure Amaran 100x,9718
court-métrage,low,extérieur,Canon M50,Canon 50mm f/1.8,Neewer LED Panel,3183
clip,high,intérieur,Sony VENICE,Canon CN-E 85mm T1.3,Litepanels Gemini 2x1,344581
documentaire,high,studio,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Nanlite Forza 300,222972
documentaire,low,studio,Fujifilm X-T200,Meike 25mm T2.2,Ring Light,3481
court-métrage,medium,extérieur,Blackmagic Pocket 4K,Canon RF 24-70mm,FalconEyes RX-18T,7025
documentaire,low,extérieur,Fujifilm X-T200,Kit 18-55mm,Neewer LED Panel,3041
pub,low,intérieur,Nikon Z30,Sigma 16mm f/1.4,Softbox 135W,1716
interview,high,intérieur,Canon C70,Zeiss CP.3 50mm T2.1,Creamsource Vortex8,158459
documentaire,medium,studio,Fujifilm X-H2,Canon RF 24-70mm,Aputure Amaran 100x,8769
interview,high,studio,Canon C70,ARRI Signature Prime 35mm,ARRI SkyPanel S60,309996
pub,medium,studio,Panasonic GH6,Tokina 11-20mm f/2.8,Aputure Amaran 100x,7532
documentaire,high,intérieur,RED Komodo,Canon CN-E 85mm T1.3,Astera Titan Tube,433226
pub,high,studio,Canon C70,Zeiss CP.3 50mm T2.1,Nanlite Forza 300,379083
interview,low,intérieur,Canon M50,Meike 25mm T2.2,Ring Light,3909
clip,high,studio,Sony FX6,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,240705
interview,medium,extérieur,Canon R6,Sony 18-105mm f/4 G,Godox SL60W,5305
pub,low,extérieur,Nikon Z30,Yongnuo 35mm f/2,Andoer 660 LED,2179
interview,low,intérieur,Blackmagic Pocket Cinema Camera HD,Yongnuo 35mm f/2,GVM LED RGB,2035
court-métrage,low,extérieur,Blackmagic Pocket Cinema Camera HD,Kit 18-55mm,Neewer LED Panel,3646
documentaire,medium,intérieur,Blackmagic Pocket 4K,Canon RF 24-70mm,Aputure Amaran 100x,7640
pub,medium,extérieur,Blackmagic Pocket 4K,Tamron 28-75mm,Nanlite PavoTube 6C,6127
interview,medium,intérieur,Blackmagic Pocket 4K,Sigma 30mm f/1.4,Godox SL60W,8516
court-métrage,high,extérieur,Canon C70,Canon CN-E 85mm T1.3,ARRI SkyPanel S60,173097
interview,low,extérieur,Fujifilm X-T200,Meike 25mm T2.2,Neewer LED Panel,1658
court-métrage,low,extérieur,Sony A6400,Sigma 16mm f/1.4,Neewer LED Panel,2261
documentaire,low,intérieur,Fujifilm X-T200,Sigma 16mm f/1.4,Ulanzi VL49,3291
pub,high,extérieur,Canon C70,Canon L 24-70mm f/2.8,Aputure 300x,39694
court-métrage,medium,intérieur,Canon R6,Sigma 24-70mm f/2.8,Nanlite PavoTube 6C,8529
documentaire,medium,intérieur,Sony A7 IV,Tamron 28-75mm,Godox SL60W,4776
documentaire,medium,extérieur,Sony A7 IV,Sigma 24-70mm f/2.8,FalconEyes RX-18T,5532
interview,medium,extérieur,Canon R6,Tokina 11-20mm f/2.8,Aputure Amaran 100x,6235
pub,low,studio,Blackmagic Pocket Cinema Camera HD,Meike 25mm T2.2,Softbox 135W,1987
documentaire,low,extérieur,Nikon Z30,Canon 50mm f/1.8,Neewer LED Panel,3514
pub,low,studio,Fujifilm X-T200,Meike 25mm T2.2,Softbox 135W,1718
documentaire,medium,extérieur,Blackmagic Pocket 4K,Sigma 24-70mm f/2.8,Godox SL60W,7990
clip,high,intérieur,Sony VENICE,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,288959
court-métrage,medium,extérieur,Canon R6,Sony 18-105mm f/4 G,Aputure Amaran 100x,9343
pub,medium,extérieur,Nikon Z6 II,Canon RF 24-70mm,Aputure AL-MC RGB,7413
interview,high,extérieur,ARRI Alexa Mini,Sony G Master 35mm f/1.4,ARRI SkyPanel S60,211176
clip,low,extérieur,Fujifilm X-T200,Meike 25mm T2.2,Neewer LED Panel,3957
court-métrage,low,extérieur,Nikon Z30,Canon 50mm f/1.8,Ring Light,3078
clip,medium,studio,Blackmagic Pocket 4K,Canon RF 24-70mm,Godox SL60W,4513
pub,low,extérieur,Sony A6400,Yongnuo 35mm f/2,GVM LED RGB,3338
court-métrage,medium,extérieur,Nikon Z6 II,Sigma 24-70mm f/2.8,Godox SL60W,5249
clip,medium,studio,Panasonic GH6,Tokina 11-20mm f/2.8,Aputure AL-MC RGB,7928
clip,medium,intérieur,Sony A7 IV,Sigma 30mm f/1.4,SmallRig RC120B,9404
interview,low,extérieur,Canon M50,Meike 25mm T2.2,Softbox 135W,1758
pub,low,intérieur,Fujifilm X-T200,Sigma 16mm f/1.4,Andoer 660 LED,3988
interview,high,studio,ARRI Alexa Mini,Leica Summilux-C 29mm,Litepanels Gemini 2x1,264775
interview,medium,intérieur,Panasonic GH6,Tamron 28-75mm,Aputure AL-MC RGB,4580
pub,medium,intérieur,Nikon Z6 II,Tamron 28-75mm,Godox SL60W,8056
pub,low,intérieur,Canon M50,Meike 25mm T2.2,Andoer 660 LED,2081
interview,medium,extérieur,Nikon Z6 II,Sigma 24-70mm f/2.8,Godox SL60W,5844
documentaire,medium,studio,Nikon Z6 II,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,7102
documentaire,medium,studio,Panasonic GH6,Tamron 28-75mm,SmallRig RC120B,7282
court-métrage,low,intérieur,Fujifilm X-T200,Meike 25mm T2.2,Softbox 135W,3301
documentaire,medium,extérieur,Fujifilm X-H2,Sigma 30mm f/1.4,Nanlite PavoTube 6C,9066
documentaire,low,studio,Canon M50,Kit 18-55mm,Andoer 660 LED,2797
documentaire,high,intérieur,ARRI Alexa Mini,Zeiss CP.3 50mm T2.1,Astera Titan Tube,178546
court-métrage,medium,studio,Sony FX30,Sony 18-105mm f/4 G,SmallRig RC120B,9535
clip,high,extérieur,RED Komodo,ARRI Signature Prime 35mm,Astera Titan Tube,169032
pub,low,extérieur,Nikon Z30,Yongnuo 35mm f/2,Neewer LED Panel,1670
pub,low,extérieur,Panasonic G7,Viltrox 23mm f/1.4,Ulanzi VL49,2710
documentaire,medium,extérieur,Sony FX30,Canon RF 24-70mm,Aputure Amaran 100x,8092
documentaire,high,extérieur,Sony FX6,Sony G Master 35mm f/1.4,Nanlite Forza 300,72492
documentaire,high,intérieur,Sony FX6,Leica Summilux-C 29mm,Creamsource Vortex8,499304
court-métrage,high,intérieur,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Astera Titan Tube,404256
pub,medium,extérieur,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,Aputure Amaran 100x,6706
pub,high,studio,Sony FX6,Leica Summilux-C 29mm,Litepanels Gemini 2x1,216685
clip,medium,intérieur,Sony FX30,Sigma 30mm f/1.4,Nanlite PavoTube 6C,8394
pub,high,extérieur,Blackmagic URSA Mini Pro 12K,Sony G Master 35mm f/1.4,Astera Titan Tube,39771
clip,medium,studio,Sony A7 IV,Tokina 11-20mm f/2.8,FalconEyes RX-18T,9538
clip,high,extérieur,ARRI Alexa Mini,ARRI Signature Prime 35mm,Creamsource Vortex8,257188
pub,low,extérieur,Panasonic G7,Yongnuo 35mm f/2,GVM LED RGB,2517
clip,medium,studio,Canon R6,Sigma 24-70mm f/2.8,FalconEyes RX-18T,9468
